name,brand,quantity,units,unit_price,picfile,barcode,discount,stock,subcategory,subsubcategory,essential_item
Marie Gold,Britannia,150,GRAM,23,dummy_data/Britannia-Marie-Gold-Biscuits-150g.jpg,NULL,0,12,Biscuits & Cookies,Healthy & Digestive,TRUE
Bounce Chocolate Twist,Sunfeast,50,GRAM,8,dummy_data/ITC-Bounce-chocolate-twist-50g.jpg,89465543ft679,0.8,13,Biscuits & Cookies,Cream Biscuits & Wafer,TRUE
Parle G,Parle G,80,GRAM,5,dummy_data/ParelG-80g.jpg,8946354356gh,0,14,Biscuits & Cookies,,TRUE
Butter Bite Cashew Cookies,Priyagold,200,GRAM,34,dummy_data/priyagold-butter-bite-butter-cashew-200g.jpg,895765fgsxfgc,3.4,17,Biscuits & Cookies,,TRUE
Coca Cola 500 ml Pet Bottle,Cola Cola,500,ML,15,dummy_data/COCA_COLA_500_ML_PET_BOTTLES.png.jpg,895656774hub,0,19,Cold Drinks,,TRUE
Coca Cola 300 ml can,Coca Cola,300,ML,21,dummy_data/Coke_Can_300ML.jpg,893444558vgv,0,21,Cold Drinks,,TRUE
Coke Zero 300 ml can,Coca Cola,300,ML,21,dummy_data/CokeZero_300ML_can.jpeg,89567dxsxcf,0,11,Cold Drinks,,TRUE
Pepsi 250 ml pet bottle,Pepsi,250,ML,10,dummy_data/Pepsi-250ml.jpg,NULL,0,5,Cold Drinks,,TRUE
Pepsi 300 ml can,Pepsi,300,ML,21,dummy_data/Pepsi300MLCan.jpg,NULL,0,25,Cold Drinks,,TRUE
Pepsi black 300 ml can,Pepsi,300,ML,22,dummy_data/PepsiBlack300ML.jpg,NULL,1,67,Cold Drinks,,TRUE
Breeze Antibacterial Powder Pack,Unilever,125,GRAM,40,dummy_data/breeze_antibacterial_powder_pack.jpg,33bbccnhboivbq,0,78,Laundry Detergents,Detergent Powders,FALSE
Breeze PowerMachine Liquid Pack,Unilever,200,ML,109,dummy_data/breeze_powermachine_liquid_pack.jpg,zo8qhc62ejzzad,1,12,Laundry Detergents,Liquid Detergents,FALSE
