Category,Subcategory,Subsubcategory,“Others” subsubcategory is added to each category/subcategory automatically. All blank subcategories will be called by name of their categories. All blank subsubcategories get names of their subcategories.
Baby Care,Baby Accessories & More,Baby Needs,
Baby Care,Baby Skin & Hair Care,Bathing Needs,
Baby Care,Baby Skin & Hair Care,Body Care & Others,
Baby Care,Bath & Body,Soaps,
Baby Care,Cleaners,Toilet Cleaners,
Baby Care,Diapers & Wipes,Diapers,
Baby Care,Diapers & Wipes,Wipes,
Baby Care,Hair Care,Shampoo,
Baby Care,Health & Wellness,Antiseptics & OTC's,
Baby Care,Milk,Cream & Whitener,
Baby Care,Skin Care,Body Oils & Others,
Beverages,Atta & Other Flours,Other Flours,
Beverages,Biscuits & Cookies,Cookies & Cakes,
Beverages,Biscuits & Cookies,Healthy & Digestive,
Beverages,Chips & Crisps,,
Beverages,Chocolates,Chocolate Bars,
Beverages,Chawanprash,,
Beverages,Cold Drinks,,
Beverages,Confectionery,Candies & Chewing Gums,
Beverages,Edible Oils,Health Oil,
Beverages,Flavoured Milk & Milk Shake,,
Beverages,Hair Care,Shampoo,
Beverages,Health & Energy Drinks,,
Beverages,Health & Wellness,Antiseptics & OTC's,
Beverages,Health & Wellness,Health Supplements,
Beverages,"Jams, Honey & Spreads",Honey,
Beverages,Juices & Drinks,,
Beverages,Milk,Cream & Whitener,
Beverages,Milk,Lassi & Chaach,
Beverages,Namkeen & Snacks,Namkeen & Mixtures,
Beverages,Pasta & Soups,Soup,
Beverages,Ready Made Meals & Mixes,Ready to Eat,
Beverages,Salt & Sugar,Sugar,
Beverages,Tea & Coffee,,
Beverages,Water & Soda,,
Beverages,,,
"Biscuits, Snacks & Chocolates",Baking & Desset Items,Baking Ingredients,
"Biscuits, Snacks & Chocolates",Biscuits & Cookies,Biscuit Gift  Pack,
"Biscuits, Snacks & Chocolates",Biscuits & Cookies,Cookies & Cakes,
"Biscuits, Snacks & Chocolates",Biscuits & Cookies,Cream Biscuits & Wafer,
"Biscuits, Snacks & Chocolates",Biscuits & Cookies,Healthy & Digestive,
"Biscuits, Snacks & Chocolates",Biscuits & Cookies,Sweet & Salty,
"Biscuits, Snacks & Chocolates","Biscuits, Snacks & Chocolates",Biscuit Gift  Pack,
"Biscuits, Snacks & Chocolates","Biscuits, Snacks & Chocolates",Cream Biscuits & Wafer,
"Biscuits, Snacks & Chocolates","Biscuits, Snacks & Chocolates",Healthy & Digestive,
"Biscuits, Snacks & Chocolates","Biscuits, Snacks & Chocolates",Sweet & Salty,
"Biscuits, Snacks & Chocolates",Breakfast & Cereal & Mixes,Breakfast Bars,
"Biscuits, Snacks & Chocolates",Breakfast & Cereal & Mixes,Breakfast Mixes,
"Biscuits, Snacks & Chocolates",Breakfast & Cereal & Mixes,Flakes,
"Biscuits, Snacks & Chocolates",Chips & Crisps,,
"Biscuits, Snacks & Chocolates",Chocolates,Biscuit Gift  Pack,
"Biscuits, Snacks & Chocolates",Chocolates,Chocolate Bags,
"Biscuits, Snacks & Chocolates",Chocolates,Chocolate Bars,
"Biscuits, Snacks & Chocolates",Chocolates,Chocolate Gift  Packs,
"Biscuits, Snacks & Chocolates",Confectionery,Candies & Chewing Gums,
"Biscuits, Snacks & Chocolates",Confectionery,Chocolate Gift  Packs,
"Biscuits, Snacks & Chocolates",Confectionery,Mouth Freshners,
"Biscuits, Snacks & Chocolates",Dry Fruits & Nuts,Almonds,
"Biscuits, Snacks & Chocolates",Flavoured Milk & Milk Shake,,
"Biscuits, Snacks & Chocolates",Frozen & Canned Food,Frozen Veg,
"Biscuits, Snacks & Chocolates",Health & Energy Drinks,,
